Description|from_url|to_url|flags
No description|^(?i)heav-contest-2022/?$|https://info.classicalconversations.com/heav-contest-2022| [R=302, L]|
No description|^(?i)sehe-contest-2022/?$|https://info.classicalconversations.com/sehe-contest-2022| [R=302, L]|
No description|^(?i)thrive-2022/?$|https://info.classicalconversations.com/thrive-2022| [R=302, L]|
No description|^(?i)taolc-gutenberg/?$|https://info.classicalconversations.com/taolc-gutenberg| [R=302, L]|
No description|^(?i)rmhc-2022/?$|https://info.classicalconversations.com/rmhc-2022| [R=302, L]|
No description|^(?i)2022-masshope/?$|https://info.classicalconversations.com/2022-masshope| [R=302, L]|
No description|^(?i)2022-chea/?$|https://info.classicalconversations.com/2022-chea| [R=302, L]|
No description|^(?i)2022-hc/?$|https://info.classicalconversations.com/2022-hc| [R=302, L]|
No description|^(?i)2022-indiana/?$|https://info.classicalconversations.com/2022-indiana| [R=302, L]|
No description|^(?i)cross-politic/?$|https://info.classicalconversations.com/cross-politic| [R=302, L]|
No description|^(?i)updates/?$|https://ccconnected.com| [R=302, L]|
No description|^(?i)find-community/?$|https://classicalconversations.com/community-search/| [R=302, L]|
No description|^(?i)idaho-2022/?$|https://info.classicalconversations.com/idaho-2022| [R=302, L]|
No description|^(?i)ocean-waves/?$|https://info.classicalconversations.com/ocean-waves| [R=302, L]|
No description|^(?i)parents-22/?$|https://info.classicalconversations.com/parents-22| [R=302, L]|
No description|^(?i)unity-2022/?$|https://info.classicalconversations.com/unity-2022| [R=302, L]|
No description|^(?i)heritage/?$|https://info.classicalconversations.com/heritage| [R=302, L]|
No description|^(?i)home-learning-22/?$|https://info.classicalconversations.com/home-learning-22| [R=302, L]|
No description|^(?i)ahginspire-2022/?$|https://info.classicalconversations.com/ahginspire-2022| [R=302, L]|
No description|^(?i)scribblers-resource/?$|https://info.classicalconversations.com/scribblers-resource| [R=302, L]|
No description|^(?i)scribbler-resource/?$|https://info.classicalconversations.com/scribblers-resource| [R=302, L]|
